Survived,Pclass,Sex,Age,SibSp,Parch,Fare,Embarked_Q,Embarked_S,Embarked_3
0,3,1,-0.46589622469146486,1,0,-0.7781429959474816,False,True,False
1,3,0,-0.16866903591785826,0,0,-0.7280347262722512,False,True,False
1,1,0,0.5000921388227566,1,0,2.6255076182885326,False,True,False
0,3,1,0.5000921388227566,0,0,-0.7187554170731345,False,True,False
0,3,1,,0,0,-0.6884454815051397,True,False,False
0,1,1,1.911921285497388,0,0,2.5336424572172773,False,True,False
0,3,1,-1.952032168559498,3,1,0.24814860147482803,False,True,False
1,3,0,-0.0943622387244566,0,2,-0.48986826464404176,False,True,False
1,2,0,-1.0603506022386782,1,0,0.9159470790221418,False,False,False
1,3,0,-1.8034185741726945,1,1,-0.0766272204942573,False,True,False
1,1,0,2.2091484742709944,0,0,0.6545823443961406,False,True,False
0,3,1,-0.6145098190782682,0,0,-0.7187554170731345,False,True,False
0,3,1,0.7973193275963633,1,5,1.0053402321227527,False,True,False
0,3,0,-1.0603506022386782,0,0,-0.7332905270026311,False,True,False
1,2,0,1.9862280826907897,0,0,-0.1285913520093109,False,True,False
0,3,1,-1.952032168559498,4,1,0.8457361138979451,True,False,False
1,2,1,,0,0,-0.3512947727881123,False,True,False
0,3,0,0.20286495004915,1,0,0.01987759517655668,False,True,False
1,3,0,,0,0,-0.7799988577873049,False,False,False
0,2,1,0.5000921388227566,0,0,0.613753383920027,False,True,False
1,2,1,0.42578534162935494,0,0,-0.3512947727881123,False,True,False
1,3,0,-0.9860438050452764,0,0,-0.7202994941238676,True,False,False
1,1,1,-0.02005544153105495,0,0,1.318980883052898,False,True,False
0,3,0,-1.506191385399088,3,1,0.24814860147482803,False,True,False
1,3,0,0.7230125304029615,1,5,1.0136916104019578,False,True,False
0,3,1,,0,0,-0.7799988577873049,False,False,False
1,3,0,,0,0,-0.7314346651628075,True,False,False
0,3,1,,0,0,-0.7302023729011649,False,True,False
0,1,1,0.8716261247897649,0,0,0.7414960660787475,False,False,False
1,3,0,,0,0,-0.7410257591510147,True,False,False
0,1,1,1.0202397191765682,1,0,2.543849697336306,False,True,False
1,3,1,,0,0,-0.7796870729982147,False,False,False
0,3,1,-0.5402030218848665,0,0,-0.7187554170731345,False,True,False
0,3,0,-0.7631234134650715,2,0,0.01987759517655668,False,True,False
1,3,0,-1.0603506022386782,1,0,-0.48182124770656776,False,False,False
0,3,0,0.8716261247897649,1,0,-0.6129712922032039,False,True,False
0,2,0,-0.0943622387244566,1,0,0.24258101595535805,False,True,False
0,3,1,,0,0,-0.7302023729011649,False,False,False
1,2,0,-1.8777253713660962,1,2,1.770267094919061,False,False,False
1,3,0,-0.6888166162716698,0,0,-0.7314346651628075,True,False,False
0,3,1,,0,0,-0.7187554170731345,False,True,False
0,3,1,,1,0,-0.1657085888057778,True,False,False
1,3,0,,0,0,-0.7410257591510147,True,False,False
0,3,1,,2,0,0.2930010704196788,False,False,False
0,3,0,-0.7631234134650715,1,0,0.005030700457969974,False,True,False
0,3,1,-1.5804981825924895,4,1,1.6298377412233083,False,True,False
0,3,1,-0.5402030218848665,0,0,-0.737314035471368,False,True,False
1,2,0,0.0542513556623467,1,0,0.613753383920027,False,True,False
1,1,1,,0,0,1.318980883052898,False,True,False
1,2,0,-0.5402030218848665,0,0,-0.5368809567704468,False,True,False
0,3,1,0.017097957065645875,0,0,-0.7796870729982147,False,False,False
1,2,0,-1.729111776979293,1,2,0.7436637127076612,False,True,False
0,3,1,-1.283270993818883,5,2,2.165253882012343,False,True,False
0,3,1,-0.46589622469146486,0,0,-0.7796870729982147,False,False,False
0,3,1,-1.8034185741726945,3,2,0.7547988837466011,False,True,False
0,1,1,,0,0,0.7414960660787475,False,False,False
1,3,1,,1,1,-0.18457899199310163,False,False,False
1,2,0,0.0542513556623467,0,0,-0.5368809567704468,False,True,False
0,3,1,-0.6888166162716698,0,0,-0.7107158235830198,False,True,False
1,3,0,-0.8374302106584731,4,2,-0.7280347262722512,False,True,False
0,3,1,-0.16866903591785826,2,0,-0.6732868019974626,False,True,False
0,2,1,0.27717174724255167,0,0,-0.5368809567704468,False,True,False
0,3,0,-0.9117370078518747,5,2,2.165253882012343,False,True,False
0,3,1,-0.16866903591785826,1,0,-0.24334300128926795,False,False,False
1,3,1,0.27717174724255167,0,0,2.8775930437154176,False,True,False
0,3,1,-0.2429758331112599,0,0,-0.748449206510308,False,True,False
0,3,1,,0,0,-0.7302023729011649,False,True,False
0,3,1,,0,0,-0.7187554170731345,False,True,False
1,2,1,-2.038971121275778,0,2,0.8364568046988283,False,True,False
1,3,0,0.12855815285574834,0,0,-0.39026787142440256,False,True,False
0,3,1,-0.46589622469146486,0,0,-0.6482326671598474,False,True,False
1,3,1,0.0542513556623467,0,0,-0.6111154303633806,False,True,False
1,3,0,,0,0,-0.7382419663912797,True,False,False
0,1,1,-0.02005544153105495,0,0,2.18010077673093,False,True,False
1,2,0,-0.8374302106584731,0,0,-0.5368809567704468,False,True,False
1,3,0,0.3514785444359533,3,0,-0.139726523048251,False,True,False
0,3,1,-0.9117370078518747,1,3,1.2354671002608475,False,True,False
0,3,1,,0,0,-0.7187554170731345,False,True,False
0,3,1,-0.31728263030466153,0,0,-0.7187554170731345,False,True,False
0,3,1,0.0542513556623467,0,0,-0.7187554170731345,False,True,False
0,3,1,-0.6145098190782682,0,0,-0.7332905270026311,False,True,False
0,1,1,1.3174669079501748,1,0,3.224950992551473,False,True,False
0,3,1,-0.16866903591785826,1,2,0.21103136467836114,False,True,False
0,3,1,2.2834552714643963,0,0,-0.7781429959474816,False,True,False
0,3,1,,0,0,-0.7187554170731345,False,True,False
1,1,1,-0.3915894274980632,0,1,3.387027118746926,False,False,False
1,2,0,0.42578534162935494,0,1,0.39104996314122564,False,True,False
0,2,1,0.42578534162935494,1,0,0.613753383920027,False,True,False
0,3,0,-0.02005544153105495,0,0,-0.7302023729011649,False,True,False
0,3,1,,0,0,-0.7302023729011649,False,True,False
0,3,1,0.3514785444359533,0,0,-0.673902948128284,False,True,False
0,3,1,0.6487057332095599,2,0,-0.7280347262722512,False,True,False
0,3,1,-0.02005544153105495,0,0,-0.7302023729011649,False,True,False
1,3,0,-0.5402030218848665,0,0,-0.748449206510308,False,True,False
1,3,1,,0,0,-0.7391698973111913,False,True,False
0,3,1,0.7230125304029615,0,0,-0.7302023729011649,False,True,False
1,3,0,,1,0,0.4764196077730994,True,False,False
0,1,1,1.3917737051435763,0,0,2.543849697336306,False,True,False
0,3,0,-1.0231972036419772,1,0,-0.24334300128926795,False,False,False
0,3,1,-0.46589622469146486,0,0,-0.7187554170731345,False,True,False
0,3,0,-0.6145098190782682,1,0,-0.5869892264456771,False,True,False
0,3,0,-0.8374302106584731,0,0,-0.24303863994753697,False,False,False
0,3,1,-0.5402030218848665,0,0,-0.7280347262722512,False,True,False
0,2,1,0.0542513556623467,1,0,0.24258101595535805,False,True,False
0,3,0,-1.952032168559498,4,2,1.0053402321227527,False,True,False
0,3,1,,0,0,-0.7187554170731345,False,True,False
0,2,1,0.3143251458392525,1,0,0.9159470790221418,False,False,False
1,2,0,0.3143251458392525,0,0,-0.3512947727881123,False,True,False
